pool	path	class	mean_colour_shift	luminance_corr
TS	textures/architecture/windhelm/whslateroof.dds	recolour	shift=60.2	corr=0.99
TS	textures/architecture/riften/riftenbrickinset01.dds	near-vanilla	shift=0.4	corr=0.99
TS	textures/architecture/riften/riftenhouseplanks02.dds	repaint	shift=20.7	corr=-0.03
TS	textures/architecture/riften/riftensiding01.dds	repaint	shift=40.5	corr=0.01
TS	textures/architecture/riften/riftenlattice01.dds	repaint	shift=27.8	corr=0.50
TS	textures/architecture/riften/riftenstonewall02.dds	repaint	shift=20.5	corr=-0.01
TS	textures/architecture/riften/riftenlogsiding01.dds	repaint	shift=55.8	corr=0.25
TS	textures/architecture/riften/riftencanalplanks01.dds	recolour	shift=27.9	corr=0.98
TS	textures/architecture/riften/riftencanalwood01.dds	recolour	shift=31.3	corr=0.95
TS	textures/architecture/riften/riftenlogdetails01.dds	recolour	shift=37.0	corr=0.85
TS	textures/architecture/riften/riftenroofshingles01.dds	recolour	shift=22.5	corr=0.98
TS	textures/architecture/riften/riftenshinglesalpha01.dds	recolour	shift=23.0	corr=0.99
TS	textures/architecture/riften/riftenkeepdoor01.dds	near-vanilla	shift=0.4	corr=0.99
TS	textures/architecture/riften/riftenstonewall01.dds	repaint	shift=53.6	corr=0.01
TS	textures/architecture/riften/riftenhouseplanks01.dds	repaint	shift=73.8	corr=-0.01
TS	textures/architecture/farmhouse/roof01.dds	recolour	shift=17.4	corr=1.00
TS	textures/architecture/farmhouse/stonewall02.dds	recolour	shift=45.5	corr=1.00
TS	textures/architecture/farmhouse/farmhouse01.dds	recolour	shift=55.9	corr=1.00
TS	textures/architecture/farmhouse/ivy01.dds	recolour	shift=36.3	corr=1.00
TS	textures/architecture/farmhouse/woodpost02.dds	recolour	shift=71.5	corr=0.99
TS	textures/architecture/farmhouse/stonefloor01.dds	recolour	shift=50.5	corr=0.99
TS	textures/architecture/farmhouse/woodwalkway01.dds	recolour	shift=43.9	corr=0.99
TS	textures/architecture/farmhouse/woodwall01.dds	repaint	shift=47.7	corr=0.11
TS	textures/architecture/farmhouse/stonewall01.dds	recolour	shift=45.3	corr=1.00
TS	textures/architecture/whiterun/wrdirtbase.dds	repaint	shift=180.3	corr=-0.03
TS	textures/architecture/whiterun/wrfloorboards01.dds	recolour	shift=16.7	corr=0.99
TS	textures/architecture/whiterun/wrcastlewoodpanel01.dds	repaint	shift=23.3	corr=0.31
TS	textures/architecture/whiterun/wrstonebase02.dds	recolour	shift=46.6	corr=0.98
TS	textures/architecture/whiterun/wrroofint01.dds	recolour	shift=52.6	corr=0.99
TS	textures/architecture/whiterun/wrchbanner01.dds	near-vanilla	shift=0.5	corr=0.98
TS	textures/architecture/whiterun/wrtreealivebark01.dds	repaint	shift=25.1	corr=0.02
TS	textures/architecture/whiterun/wrslate01.dds	recolour	shift=28.7	corr=0.98
TS	textures/architecture/whiterun/wrcitywall01.dds	repaint	shift=82.9	corr=-0.00
TS	textures/architecture/whiterun/wrdragontile01.dds	repaint	shift=37.5	corr=0.04
TS	textures/architecture/whiterun/wrcitybannerinsidetall02.dds	near-vanilla	shift=0.6	corr=0.99
TS	textures/architecture/whiterun/wrroofintdecal.dds	recolour	shift=49.9	corr=0.98
TS	textures/architecture/whiterun/wrwoodbeamint01.dds	recolour	shift=83.5	corr=0.97
TS	textures/architecture/whiterun/wrwoodlattice01.dds	recolour	shift=48.4	corr=0.98
TS	textures/architecture/whiterun/wrwoodbeam02.dds	recolour	shift=19.3	corr=0.97
TS	textures/architecture/whiterun/wrroofslate01.dds	repaint	shift=50.0	corr=-0.03
TS	textures/architecture/whiterun/wrtrims01.dds	recolour	shift=22.7	corr=0.99
TS	textures/architecture/whiterun/wrwoodbranchwall01.dds	recolour	shift=46.4	corr=0.99
TS	textures/architecture/whiterun/wrtemplewall01.dds	near-vanilla	shift=0.6	corr=0.99
TS	textures/architecture/whiterun/wrstoneblocks01.dds	recolour	shift=50.8	corr=0.97
TS	textures/architecture/whiterun/wrwoodplanks02.dds	recolour	shift=47.6	corr=0.99
TS	textures/architecture/whiterun/wrstonefloor01.dds	recolour	shift=47.7	corr=1.00
TS	textures/architecture/whiterun/wrcitybannerinside01.dds	near-vanilla	shift=0.6	corr=0.99
TS	textures/architecture/whiterun/wrtreefloweringbranch01.dds	repaint	shift=5.9	corr=0.13
TS	textures/architecture/whiterun/wrwoodbeam01.dds	recolour	shift=41.2	corr=0.98
TS	textures/architecture/whiterun/wrtreedeadbark01.dds	repaint	shift=38.3	corr=0.01
TS	textures/architecture/whiterun/wrstockade01.dds	recolour	shift=42.9	corr=0.94
TS	textures/architecture/whiterun/wrfloorboards01alt.dds	recolour	shift=42.4	corr=0.98
TS	textures/architecture/whiterun/wrhallcarvings01.dds	recolour	shift=60.3	corr=0.98
